"","Hz","Frontal","Central","Parietal","Occipital","logFrontal","logCentral","logParietal","logOccipital","logHz"
"65",64.805,0.0291389908256881,0.0202518939393939,0.0177975,0.0287840304182509,-3.53567811074038,-3.89950696193174,-4.02869728098625,-3.54793454499815,4.17138276087534
"66",65.802,0.0698052752293578,0.0476977272727273,0.0421704545454545,0.0624817490494297,-2.66204569571773,-3.04287152849702,-3.16603543239975,-2.77288078009365,4.18665023300613
"67",66.799,0.074548623853211,0.0527458333333333,0.0455979545454545,0.0670437262357414,-2.5963036973219,-2.9422704986873,-3.08789241992721,-2.70241024207757,4.20168811037067
"68",67.796,0.0682295871559633,0.0490200757575758,0.0425331818181818,0.0638262357414449,-2.6848769789431,-3.01552535544118,-3.15747075901435,-2.75159095464061,4.21650319615581
"69",68.793,0.0607410550458716,0.0433882575757576,0.0371784090909091,0.0565566539923954,-2.80113544964592,-3.13756643725505,-3.29202708698278,-2.87251241769405,4.23110199557696
"70",69.79,0.0540252293577982,0.0394863636363636,0.0334156818181818,0.0484403041825095,-2.91830413119703,-3.23179989107458,-3.39872997367298,-3.0274230807441,4.24549073302906
"71",70.787,0.0476853211009174,0.034405303030303,0.0287177272727273,0.0436916349809886,-3.04313166218097,-3.36954456862624,-3.55024067189133,-3.13059861440293,4.25967536802102
"72",71.784,0.042004128440367,0.0293458333333333,0.0256959090909091,0.0379536121673004,-3.16998736933031,-3.52860470757872,-3.6614234790934,-3.27139059739599,4.27366160999576
"73",72.781,0.0366837155963303,0.0257829545454545,0.0218902272727273,0.0313726235741445,-3.30542233911425,-3.65804168193025,-3.8217149850103,-3.46181962705556,4.28745493212809
"74",73.778,0.0310993119266055,0.0227041666666667,0.0191018181818182,0.0269216730038023,-3.47056958458815,-3.78520681774103,-3.95797175569475,-3.6148236288929,4.30106058418387
"75",74.775,0.0264456422018349,0.0191973484848485,0.0162652272727273,0.0232095057034221,-3.6326638903259,-3.95298310923252,-4.11872574603872,-3.76319335562993,4.31448360451601
"76",75.772,0.0227057339449541,0.0163348484848485,0.0138265909090909,0.0188615969581749,-3.78513778969794,-4.11445450946349,-4.28116166339572,-3.970627331015,4.32772883126603
"77",76.769,0.0191327981651376,0.0136102272727273,0.0116125,0.0159589353612167,-3.9563512351791,-4.29693376350688,-4.45567317484218,-4.13773639587615,4.34080091283339
"78",77.766,0.0165254587155963,0.0119401515151515,0.0102393181818182,0.0140277566539924,-4.10285313474334,-4.42784848138701,-4.58152024539439,-4.26671729401803,4.35370431766929
"79",78.763,0.0141075688073394,0.0107306818181818,0.0088775,0.0117460076045627,-4.26104383077406,-4.53464818119132,-4.72423529314703,-4.44424187446479,4.36644334344672
"80",79.76,0.012029128440367,0.00867727272727273,0.00731159090909091,0.0104680608365019,-4.42042420046739,-4.74704800160875,-4.91829439427687,-4.55942648266682,4.37902212565358
"81",80.757,0.0101935779816514,0.00732727272727273,0.00623272727272727,0.0095148288973384,-4.58599736662132,-4.91615190226792,-5.07794127749098,-4.65490376080891,4.39144464565214
"82",81.754,0.00876100917431193,0.00608219696969697,0.0052125,0.00851977186311787,-4.73744417812212,-5.10238930457281,-5.25669569185722,-4.76536571512877,4.40371473824395
"83",82.751,0.00738807339449541,0.0053,0.00449227272727273,0.00631178707224335,-4.90788828240978,-5.24004845842406,-5.40539652995236,-5.06533642980931,4.4158360987763
"84",83.748,0.00615619266055046,0.00457954545454545,0.00383522727272727,0.00541977186311787,-5.09029676710951,-5.38615553151366,-5.56352658314776,-5.21770155609213,4.42781228982301
"85",84.745,0.0050401376146789,0.00386098484848485,0.00320022727272727,0.00453574144486692,-5.29032189277184,-5.55683298595409,-5.74453344897118,-5.395766714872,4.43964674747002
"86",85.742,0.00438463302752294,0.00320340909090909,0.00265522727272727,0.00363916349809886,-5.4296493447962,-5.74353969534028,-5.93122502617134,-5.61600143195804,4.45134278723321
"87",86.739,0.00357683486238532,0.00270984848484848,0.00215227272727273,0.00303307984790875,-5.63327698628331,-5.91086255530354,-6.14123091270837,-5.79817672424282,4.46290360963429
"88",87.736,0.00320825688073395,0.00227840909090909,0.00190386363636364,0.00262243346007605,-5.74202751714195,-6.08427784671372,-6.26386996473468,-5.94365259072266,4.47433230545791
"89",88.733,0.00272178899082569,0.00199128787878788,0.0016375,0.00234106463878327,-5.90646589766008,-6.21897367430305,-6.41458459045487,-6.05714947924274,4.48563186071184
"90",89.73,0.0021197247706422,0.00158295454545455,0.00129113636363636,0.00170836501901141,-6.15646902389501,-6.44846221267458,-6.65223254633136,-6.37221849508379,4.49680516130997
"91",90.727,0.00178990825688073,0.00133598484848485,0.00110613636363636,0.00161558935361217,-6.32559091358222,-6.61808654488645,-6.80688208905504,-6.42805546403914,4.50785499749655
"92",91.724,0.00146766055045872,0.00107727272727273,0.000888863636363636,0.00127718631178707,-6.52408560818576,-6.83332268419937,-7.02556672413298,-6.66309581454165,4.51878406802874
"93",92.721,0.00124403669724771,0.000933333333333333,0.000766590909090909,0.00113916349809886,-6.68939378570499,-6.97674815046909,-7.17355726382684,-6.77746105951684,4.52959498413296
"94",93.718,0.00104839449541284,0.00080530303030303,0.000654772727272727,0.000880228136882129,-6.86049533699347,-7.12429191622061,-7.33122236380396,-7.03532943763361,4.54029027324971
"95",94.715,0.000888302752293578,0.00066780303030303,0.000547954545454545,0.000713307984790875,-7.02619793581046,-7.31151729272463,-7.50931822070732,-7.24559727458778,4.55087238258024
"96",95.712,0.000760779816513761,0.000565530303030303,0.000462954545454545,0.000606463878326996,-7.18116657637816,-7.47774667758331,-7.67788168266168,-7.407865388935,4.56134368244754
"97",96.709,0.000610321100917431,0.000452651515151515,0.000376363636363636,0.000486692015209125,-7.40152534434753,-7.70038801075689,-7.88495476394328,-7.62787904724028,4.57170646948308
